MessageID,Subject,Message,Spam/Ham,Date
0,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2015-02-27
1,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2011-04-11
2,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2013-08-30
3,Claim your free prize,This is not a scam! Get your free gift card today.,spam,2014-12-16
4,Win a $1000 gift card now!,Act now to secure your discount before it expires.,spam,2024-05-04
5,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2010-06-24
6,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2010-01-11
7,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2021-02-16
8,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2023-06-19
9,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2012-01-29
10,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2015-11-10
11,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2011-12-21
12,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2018-09-01
13,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2021-05-15
14,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2025-04-13
15,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2014-01-27
16,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2014-01-11
17,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2011-08-08
18,"Congratulations, you've been selected!",Act now to secure your discount before it expires.,spam,2013-01-15
19,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2010-02-09
20,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2012-06-09
21,Claim your free prize,This is not a scam! Get your free gift card today.,spam,2010-04-05
22,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2010-01-14
23,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2015-02-27
24,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2022-07-24
25,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2015-05-03
26,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2017-06-13
27,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2016-12-28
28,Hot singles in your area,Act now to secure your discount before it expires.,spam,2013-05-14
29,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2022-06-06
30,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2014-04-04
31,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2021-01-31
32,"Congratulations, you've been selected!",Act now to secure your discount before it expires.,spam,2015-12-02
33,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2015-04-21
34,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2022-09-20
35,Hot singles in your area,Act now to secure your discount before it expires.,spam,2023-07-04
36,Claim your free prize,Act now to secure your discount before it expires.,spam,2024-02-24
37,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2016-06-27
38,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2020-10-24
39,Win a $1000 gift card now!,This is not a scam! Get your free gift card today.,spam,2022-04-04
40,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2020-02-17
41,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2016-05-25
42,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2022-02-28
43,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2013-04-20
44,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2023-07-03
45,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2015-06-28
46,Claim your free prize,Act now to secure your discount before it expires.,spam,2020-05-09
47,Win a $1000 gift card now!,Act now to secure your discount before it expires.,spam,2024-04-11
48,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2025-01-04
49,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2024-10-12
50,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2010-02-21
51,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2022-03-11
52,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2011-04-17
53,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2017-09-07
54,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2014-01-25
55,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2017-10-03
56,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2012-01-02
57,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2016-12-28
58,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2017-02-25
59,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2019-12-29
60,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2024-04-11
61,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2020-09-09
62,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2011-11-02
63,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2024-10-25
64,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2016-04-08
65,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2020-09-02
66,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2010-12-24
67,Hot singles in your area,Exclusive deal just for you. Visit our site to learn more.,spam,2024-11-22
68,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2014-12-03
69,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2013-12-23
70,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2012-06-13
71,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2013-06-10
72,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2011-01-13
73,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2022-01-15
74,Claim your free prize,Act now to secure your discount before it expires.,spam,2020-10-12
75,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2015-05-21
76,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2015-09-10
77,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2014-09-02
78,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2017-08-08
79,Hot singles in your area,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2024-02-07
80,Win a $1000 gift card now!,This is not a scam! Get your free gift card today.,spam,2013-09-19
81,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2015-04-07
82,Hot singles in your area,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2014-12-19
83,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2011-05-26
84,Hot singles in your area,Exclusive deal just for you. Visit our site to learn more.,spam,2020-12-04
85,Win a $1000 gift card now!,This is not a scam! Get your free gift card today.,spam,2024-07-21
86,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2014-07-05
87,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2013-04-29
88,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2017-12-02
89,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2010-08-15
90,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2018-01-17
91,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2012-07-06
92,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2019-04-23
93,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2024-09-07
94,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2016-10-05
95,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2014-06-20
96,Claim your free prize,Act now to secure your discount before it expires.,spam,2014-11-01
97,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2024-04-24
98,Hot singles in your area,Exclusive deal just for you. Visit our site to learn more.,spam,2025-05-10
99,Win a $1000 gift card now!,This is not a scam! Get your free gift card today.,spam,2016-09-22
